gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6273531601	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358455195	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Montiaceae	Claytonia	Claytonia virginica		SPECIES	Claytonia virginica L.	Claytonia virginica		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.249438	-73.567238	8.0						2026-05-04T14:12:44	4	5	2026	3084745	3084745	HUMAN_OBSERVATION	iNaturalist	Observations	358455195		Uri Sarig	2026-05-04T23:41:43	CC_BY_NC_4_0	Uri Sarig	Uri Sarig			2026-05-19T13:57:42.953Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273496886	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358783242	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Panax	Panax trifolius		SPECIES	Panax trifolius L.	Panax trifolius		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.24653	-73.590312	1.0						2026-05-03T11:25:11	3	5	2026	5372277	5372277	HUMAN_OBSERVATION	iNaturalist	Observations	358783242		pennywort_man	2026-05-06T12:03:12	CC_BY_NC_4_0	Adkgirl4	Adkgirl4			2026-05-19T14:04:22.545Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273442657	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358458022	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium	Geranium maculatum		SPECIES	Geranium maculatum L.	Geranium maculatum		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.234283	-73.6028							2026-05-04T13:46:56	4	5	2026	7808016	7808016	HUMAN_OBSERVATION	iNaturalist	Observations	358458022		JoAnn Brereton	2026-05-04T23:54:29	CC_BY_NC_4_0	JoAnn Brereton	JoAnn Brereton			2026-05-19T14:04:41.160Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273198192	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358455666	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Sanguinaria	Sanguinaria canadensis		SPECIES	Sanguinaria canadensis L.	Sanguinaria canadensis		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.244012	-73.566253	3.0						2026-05-04T14:36:30	4	5	2026	5334192	5334192	HUMAN_OBSERVATION	iNaturalist	Observations	358455666		Uri Sarig	2026-05-04T23:43:50	CC_BY_NC_4_0	Uri Sarig	Uri Sarig			2026-05-19T13:34:36.647Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273145319	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358456759	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Viburnaceae	Sambucus	Sambucus racemosa		SPECIES	Sambucus racemosa L.	Sambucus racemosa		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.240738	-73.566788	4.0						2026-05-04T14:53:27	4	5	2026	2888723	2888723	HUMAN_OBSERVATION	iNaturalist	Observations	358456759		Uri Sarig	2026-05-04T23:48:57	CC_BY_NC_4_0	Uri Sarig	Uri Sarig			2026-05-19T13:34:42.743Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6253356594	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357029724	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex albicans		SPECIES	Carex albicans Willd. ex Spreng.	Carex albicans		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.234561	-73.573903							2026-04-30T13:38:14	30	4	2026	2725452	2725452	HUMAN_OBSERVATION	iNaturalist	Observations	357029724		Patricia Butter	2026-05-01T01:17:52	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T13:57:28.727Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6253347660	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358048780	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Chelidonium	Chelidonium majus		SPECIES	Chelidonium majus L.	Chelidonium majus		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.239673	-73.60754	11.0						2026-05-03T16:35:50	3	5	2026	5334186	5334186	HUMAN_OBSERVATION	iNaturalist	Observations	358048780		barbedani	2026-05-03T20:36:04	CC_BY_NC_4_0	barbedani	barbedani			2026-05-19T13:57:39.075Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6253319718	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357670072	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Micranthes	Micranthes pensylvanica		SPECIES	Micranthes pensylvanica (L.) Haw.	Micranthes pensylvanica		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.25758	-73.589058	24.0						2026-05-02T10:29:23	2	5	2026	5939580	5939580	HUMAN_OBSERVATION	iNaturalist	Observations	357670072		Varner Redmon	2026-05-02T21:08:56	CC_BY_NC_4_0	Varner Redmon	Varner Redmon			2026-05-19T13:34:42.804Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6253204036	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357042103	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex stricta		SPECIES	Carex stricta Lam.	Carex stricta		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.231499	-73.577195							2026-04-30T16:00:26	30	4	2026	2722325	2722325	HUMAN_OBSERVATION	iNaturalist	Observations	357042103		Patricia Butter	2026-05-01T02:15:00	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T14:09:08.678Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6253149855	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357027465	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaylussacia	Gaylussacia baccata		SPECIES	Gaylussacia baccata (Wangenh.) K.Koch	Gaylussacia baccata		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.235461	-73.572223							2026-04-30T13:24:25	30	4	2026	2882739	2882739	HUMAN_OBSERVATION	iNaturalist	Observations	357027465		Patricia Butter	2026-05-01T01:06:14	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T14:01:56.880Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252976342	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357027310	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Viola cucullata		SPECIES	Viola cucullata Aiton	Viola cucullata		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.237396	-73.571099							2026-04-30T13:15:49	30	4	2026	5331189	5331189	HUMAN_OBSERVATION	iNaturalist	Observations	357027310		Patricia Butter	2026-05-01T01:05:35	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T14:04:40.158Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252689040	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358099256	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Panax	Panax trifolius		SPECIES	Panax trifolius L.	Panax trifolius		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.24653	-73.590312	1.0						2026-05-03T11:25:11	3	5	2026	5372277	5372277	HUMAN_OBSERVATION	iNaturalist	Observations	358099256		Adkgirl4	2026-05-03T23:04:55	CC_BY_NC_4_0	Adkgirl4	Adkgirl4			2026-05-19T14:04:45.469Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252668123	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357998912	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Berberidaceae	Podophyllum	Podophyllum peltatum		SPECIES	Podophyllum peltatum L.	Podophyllum peltatum		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.25697	-73.589508	4.0						2026-05-03T06:54:11	3	5	2026	3033839	3033839	HUMAN_OBSERVATION	iNaturalist	Observations	357998912		hzirlin	2026-05-03T18:21:59	CC_BY_NC_4_0	hzirlin	hzirlin			2026-05-19T14:09:07.505Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252581634	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357670045	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Liriodendron	Liriodendron tulipifera		SPECIES	Liriodendron tulipifera L.	Liriodendron tulipifera		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.256925	-73.589487	2.0						2026-05-02T10:19:40	2	5	2026	3152861	3152861	HUMAN_OBSERVATION	iNaturalist	Observations	357670045		Varner Redmon	2026-05-02T21:08:49	CC_BY_NC_4_0	Varner Redmon	Varner Redmon			2026-05-19T14:16:05.504Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252567370	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/353689684	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Euonymus	Euonymus alatus		SPECIES	Euonymus alatus (Thunb.) Siebold	Euonymus alatus		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.246691	-73.591509	4.0						2026-04-25T09:15:24	25	4	2026	3169120	3169120	HUMAN_OBSERVATION	iNaturalist	Observations	353689684		Bridget Cervero	2026-04-25T17:04:29	CC_BY_NC_4_0	Bridget Cervero	Bridget Cervero			2026-05-19T13:35:40.558Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252534920	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357035509	Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae	Uvularia	Uvularia sessilifolia		SPECIES	Uvularia sessilifolia L.	Uvularia sessilifolia		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.232267	-73.578454							2026-04-30T14:28:49	30	4	2026	2740314	2740314	HUMAN_OBSERVATION	iNaturalist	Observations	357035509		Patricia Butter	2026-05-01T01:43:26	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T13:57:28.871Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252484351	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/353695446	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Arisaema	Arisaema triphyllum		SPECIES	Arisaema triphyllum (L.) Schott	Arisaema triphyllum		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.247054	-73.581878	42.0						2026-04-25T10:09:54	25	4	2026	2867316	2867316	HUMAN_OBSERVATION	iNaturalist	Observations	353695446		Bridget Cervero	2026-04-25T17:11:10	CC_BY_NC_4_0	Bridget Cervero	Bridget Cervero			2026-05-19T13:57:37.401Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252440789	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357035915	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Micranthes	Micranthes virginiensis		SPECIES	Micranthes virginiensis (Michx.) Small	Micranthes virginiensis		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.231814	-73.579102							2026-04-30T14:33:34	30	4	2026	5567570	5567570	HUMAN_OBSERVATION	iNaturalist	Observations	357035915		Patricia Butter	2026-05-01T01:45:03	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T13:35:34.046Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252421201	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357041536	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex seorsa		SPECIES	Carex seorsa Howe	Carex seorsa		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.229576	-73.579916							2026-04-30T15:15:15	30	4	2026	2725502	2725502	HUMAN_OBSERVATION	iNaturalist	Observations	357041536		Patricia Butter	2026-05-01T02:11:57	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T14:04:39.338Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252359466	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/355692180	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia cyparissias		SPECIES	Euphorbia cyparissias L.	Euphorbia cyparissias		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.252731	-73.599953	4.0						2026-04-27T17:32:10	27	4	2026	3070106	3070106	HUMAN_OBSERVATION	iNaturalist	Observations	355692180		meswamp	2026-04-27T21:32:39	CC_BY_4_0	meswamp	meswamp			2026-05-19T13:48:28.901Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252359207	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/350881530	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Anemone	Anemone quinquefolia		SPECIES	Anemonoides quinquefolia (L.) Holub	Anemonoides quinquefolia		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.260403	-73.578133	3.0						2026-04-18T10:17:06	18	4	2026	3921765	3033250	HUMAN_OBSERVATION	iNaturalist	Observations	350881530		eml23	2026-04-18T18:21:31	CC_BY_4_0	eml23	eml23			2026-05-19T13:57:37.030Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252287501	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/356880455	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Maianthemum	Maianthemum canadense		SPECIES	Maianthemum canadense Desf.	Maianthemum canadense		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.239182	-73.608261	212.0						2026-04-24T15:56:21	24	4	2026	2769544	2769544	HUMAN_OBSERVATION	iNaturalist	Observations	356880455		barbedani	2026-04-30T16:03:19	CC_BY_NC_4_0	barbedani	barbedani			2026-05-19T13:34:34.404Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252279236	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/356880620	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Thalictrum	Thalictrum thalictroides		SPECIES	Thalictrum thalictroides (L.) A.J.Eames & B.Boivin	Thalictrum thalictroides		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.239731	-73.607597	12.0						2026-04-30T12:03:37	30	4	2026	3033114	3033114	HUMAN_OBSERVATION	iNaturalist	Observations	356880620		barbedani	2026-04-30T16:03:48	CC_BY_NC_4_0	barbedani	barbedani			2026-05-19T14:09:36.963Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252249171	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/349036972	Plantae	Tracheophyta	Lycopodiopsida	Lycopodiales	Lycopodiaceae	Dendrolycopodium	Dendrolycopodium dendroideum		SPECIES	Dendrolycopodium dendroideum (Michx.) A.Haines	Dendrolycopodium dendroideum		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.24279	-73.595164	133.0						2026-04-11T14:08:49	11	4	2026	3991500	3991500	HUMAN_OBSERVATION	iNaturalist	Observations	349036972		Pinguicula 'Florian'	2026-04-11T19:08:59	CC_BY_NC_4_0	Pinguicula 'Florian'	Pinguicula 'Florian'			2026-05-19T13:57:27.724Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252246522	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357040992	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex seorsa		SPECIES	Carex seorsa Howe	Carex seorsa		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.230008	-73.579415							2026-04-30T15:26:25	30	4	2026	2725502	2725502	HUMAN_OBSERVATION	iNaturalist	Observations	357040992		Patricia Butter	2026-05-01T02:08:38	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T13:35:22.799Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6252238449	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357041964	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex bromoides		SPECIES	Carex bromoides Willd.	Carex bromoides		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.231499	-73.577195							2026-04-30T16:00:08	30	4	2026	2729333	2729333	HUMAN_OBSERVATION	iNaturalist	Observations	357041964		Patricia Butter	2026-05-01T02:14:04	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T13:57:31.478Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
