model,feature,feature_value,prompt_type,raw_response,parsed,expected,correct
gpt-5-mini,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
gpt-5-mini,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
gpt-5-mini,key_plant_type,Wildflowers - No Apparent Leaves,existence,YES,YES,YES,True
gpt-5-mini,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
gpt-5-mini,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
gpt-5-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,YES,YES,YES,True
gpt-5-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
gpt-5-mini,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,True
gpt-5-mini,key_plant_type,Wildflowers - Basal Leaves Only,existence,YES,YES,YES,True
gpt-5-mini,key_plant_type,Wildflowers - Basal Leaves Only,agreement,YES,YES,YES,True
gpt-5-mini,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
gpt-5-mini,key_plant_type,Vines,existence,YES,YES,YES,True
gpt-5-mini,key_plant_type,Vines,agreement,NO,NO,YES,False
gpt-5-mini,key_plant_type,Vines,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Vines,False
gpt-5-mini,key_plant_type,Shrubs,existence,YES,YES,YES,True
gpt-5-mini,key_plant_type,Shrubs,agreement,YES,YES,YES,True
gpt-5-mini,key_plant_type,Shrubs,blind_mc,Shrubs,Shrubs,Shrubs,True
gpt-5-mini,key_leaf_type,Leaves Entire,existence,YES,YES,YES,True
gpt-5-mini,key_leaf_type,Leaves Entire,agreement,NO,NO,YES,False
gpt-5-mini,key_leaf_type,Leaves Entire,blind_mc,Leaves Entire,Leaves Entire,Leaves Entire,True
gpt-5-mini,key_leaf_type,No Apparent Leaves,existence,YES,YES,YES,True
gpt-5-mini,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
gpt-5-mini,key_leaf_type,No Apparent Leaves,blind_mc,No Apparent Leaves,No Apparent Leaves,No Apparent Leaves,True
gpt-5-mini,key_leaf_type,Leaves Toothed or Lobed,existence,YES,YES,YES,True
gpt-5-mini,key_leaf_type,Leaves Toothed or Lobed,agreement,NO,NO,YES,False
gpt-5-mini,key_leaf_type,Leaves Toothed or Lobed,blind_mc,Leaves Toothed or Lobed,Leaves Toothed or Lobed,Leaves Toothed or Lobed,True
gpt-5-mini,key_leaf_type,Leaves Divided,existence,YES,YES,YES,True
gpt-5-mini,key_leaf_type,Leaves Divided,agreement,YES,YES,YES,True
gpt-5-mini,key_leaf_type,Leaves Divided,blind_mc,Leaves Divided,Leaves Divided,Leaves Divided,True
gemini-3-flash-preview,key_flower_type,3 Regular Parts,existence,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,3 Regular Parts,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,3 Regular Parts,blind_mc,3 Regular Parts,3 Regular Parts,3 Regular Parts,True
gemini-3-flash-preview,key_flower_type,4 Regular Parts,existence,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,4 Regular Parts,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,4 Regular Parts,blind_mc,4 Regular Parts,4 Regular Parts,4 Regular Parts,True
gemini-3-flash-preview,key_flower_type,5 Regular Parts,existence,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,5 Regular Parts,agreement,NO,NO,YES,False
gemini-3-flash-preview,key_flower_type,5 Regular Parts,blind_mc,5 Regular Parts,5 Regular Parts,5 Regular Parts,True
gemini-3-flash-preview,key_flower_type,6 Regular Parts,existence,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,6 Regular Parts,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,6 Regular Parts,blind_mc,6 Regular Parts,6 Regular Parts,6 Regular Parts,True
gemini-3-flash-preview,key_flower_type,7 or More Regular Parts,existence,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,7 or More Regular Parts,blind_mc,7 or More Regular Parts,7 or More Regular Parts,7 or More Regular Parts,True
gemini-3-flash-preview,key_flower_type,Parts Indistinguishable,existence,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,Parts Indistinguishable,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,Parts Indistinguishable,blind_mc,Parts Indistinguishable,Parts Indistinguishable,Parts Indistinguishable,True
gemini-3-flash-preview,key_flower_type,Irregular Flowers,existence,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_flower_type,Irregular Flowers,blind_mc,Irregular Flowers,Irregular Flowers,Irregular Flowers,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Alternate Leaves,existence,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
gemini-3-flash-preview,key_plant_type,Wildflowers - No Apparent Leaves,existence,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Basal Leaves Only,existence,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Basal Leaves Only,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
gemini-3-flash-preview,key_plant_type,Vines,existence,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Vines,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Vines,blind_mc,Vines,Vines,Vines,True
gemini-3-flash-preview,key_plant_type,Shrubs,existence,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Shrubs,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_plant_type,Shrubs,blind_mc,Shrubs,Shrubs,Shrubs,True
gemini-3-flash-preview,key_leaf_type,Leaves Entire,existence,YES,YES,YES,True
gemini-3-flash-preview,key_leaf_type,Leaves Entire,agreement,NO,NO,YES,False
gemini-3-flash-preview,key_leaf_type,Leaves Entire,blind_mc,Leaves Entire,Leaves Entire,Leaves Entire,True
gemini-3-flash-preview,key_leaf_type,No Apparent Leaves,existence,YES,YES,YES,True
gemini-3-flash-preview,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_leaf_type,No Apparent Leaves,blind_mc,No Apparent Leaves,No Apparent Leaves,No Apparent Leaves,True
gemini-3-flash-preview,key_leaf_type,Leaves Toothed or Lobed,existence,YES,YES,YES,True
gemini-3-flash-preview,key_leaf_type,Leaves Toothed or Lobed,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_leaf_type,Leaves Toothed or Lobed,blind_mc,Leaves Toothed or Lobed,Leaves Toothed or Lobed,Leaves Toothed or Lobed,True
gemini-3-flash-preview,key_leaf_type,Leaves Divided,existence,YES,YES,YES,True
gemini-3-flash-preview,key_leaf_type,Leaves Divided,agreement,YES,YES,YES,True
gemini-3-flash-preview,key_leaf_type,Leaves Divided,blind_mc,Leaves Divided,Leaves Divided,Leaves Divided,True
claude-sonnet-4-6,key_flower_type,3 Regular Parts,existence,YES,YES,YES,True
claude-sonnet-4-6,key_flower_type,3 Regular Parts,agreement,NO,NO,YES,False
claude-sonnet-4-6,key_flower_type,3 Regular Parts,blind_mc,**3 Regular Parts**,3 Regular Parts,3 Regular Parts,True
claude-sonnet-4-6,key_flower_type,4 Regular Parts,existence,INCONCLUSIVE,INCONCLUSIVE,YES,False
claude-sonnet-4-6,key_flower_type,4 Regular Parts,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
claude-sonnet-4-6,key_flower_type,4 Regular Parts,blind_mc,**4 Regular Parts**,4 Regular Parts,4 Regular Parts,True
claude-sonnet-4-6,key_flower_type,5 Regular Parts,existence,YES,YES,YES,True
claude-sonnet-4-6,key_flower_type,5 Regular Parts,agreement,NO,NO,YES,False
claude-sonnet-4-6,key_flower_type,5 Regular Parts,blind_mc,**Irregular Flowers**,Irregular Flowers,5 Regular Parts,False
claude-sonnet-4-6,key_flower_type,6 Regular Parts,existence,YES,YES,YES,True
claude-sonnet-4-6,key_flower_type,6 Regular Parts,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
claude-sonnet-4-6,key_flower_type,6 Regular Parts,blind_mc,**6 Regular Parts**,6 Regular Parts,6 Regular Parts,True
claude-sonnet-4-6,key_flower_type,7 or More Regular Parts,existence,YES,YES,YES,True
claude-sonnet-4-6,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
claude-sonnet-4-6,key_flower_type,7 or More Regular Parts,blind_mc,**7 or More Regular Parts**,7 or More Regular Parts,7 or More Regular Parts,True
claude-sonnet-4-6,key_flower_type,Parts Indistinguishable,existence,YES,YES,YES,True
claude-sonnet-4-6,key_flower_type,Parts Indistinguishable,agreement,NO,NO,YES,False
claude-sonnet-4-6,key_flower_type,Parts Indistinguishable,blind_mc,**Parts Indistinguishable**,Parts Indistinguishable,Parts Indistinguishable,True
claude-sonnet-4-6,key_flower_type,Irregular Flowers,existence,YES,YES,YES,True
claude-sonnet-4-6,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
claude-sonnet-4-6,key_flower_type,Irregular Flowers,blind_mc,**Irregular Flowers**,Irregular Flowers,Irregular Flowers,True
claude-sonnet-4-6,key_plant_type,Wildflowers - Alternate Leaves,existence,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
claude-sonnet-4-6,key_plant_type,Wildflowers - No Apparent Leaves,existence,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,**Wildflowers - No Apparent Leaves**,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
claude-sonnet-4-6,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
claude-sonnet-4-6,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,**Wildflowers - Opposite or Whorled Leaves**,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,True
claude-sonnet-4-6,key_plant_type,Wildflowers - Basal Leaves Only,existence,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Wildflowers - Basal Leaves Only,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
claude-sonnet-4-6,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,**Wildflowers - Basal Leaves Only**,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
claude-sonnet-4-6,key_plant_type,Vines,existence,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Vines,agreement,INCONCLUSIVE,INCONCLUSIVE,YES,False
claude-sonnet-4-6,key_plant_type,Vines,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Vines,False
claude-sonnet-4-6,key_plant_type,Shrubs,existence,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Shrubs,agreement,YES,YES,YES,True
claude-sonnet-4-6,key_plant_type,Shrubs,blind_mc,**Shrubs**,Shrubs,Shrubs,True
claude-sonnet-4-6,key_leaf_type,Leaves Entire,existence,YES,YES,YES,True
claude-sonnet-4-6,key_leaf_type,Leaves Entire,agreement,YES,YES,YES,True
claude-sonnet-4-6,key_leaf_type,Leaves Entire,blind_mc,Leaves Entire,Leaves Entire,Leaves Entire,True
claude-sonnet-4-6,key_leaf_type,No Apparent Leaves,existence,YES,YES,YES,True
claude-sonnet-4-6,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
claude-sonnet-4-6,key_leaf_type,No Apparent Leaves,blind_mc,**No Apparent Leaves**,No Apparent Leaves,No Apparent Leaves,True
claude-sonnet-4-6,key_leaf_type,Leaves Toothed or Lobed,existence,YES,YES,YES,True
claude-sonnet-4-6,key_leaf_type,Leaves Toothed or Lobed,agreement,YES,YES,YES,True
claude-sonnet-4-6,key_leaf_type,Leaves Toothed or Lobed,blind_mc,**Leaves Toothed or Lobed**,Leaves Toothed or Lobed,Leaves Toothed or Lobed,True
claude-sonnet-4-6,key_leaf_type,Leaves Divided,existence,YES,YES,YES,True
claude-sonnet-4-6,key_leaf_type,Leaves Divided,agreement,NO,NO,YES,False
claude-sonnet-4-6,key_leaf_type,Leaves Divided,blind_mc,**Leaves Toothed or Lobed**,Leaves Toothed or Lobed,Leaves Divided,False
claude-haiku-4-5,key_flower_type,3 Regular Parts,existence,"YES

The flower type is clearly discernible in this image. This is a yellow flower with a distinctive cross-like or four-petaled appearance, characteristic of flowers in the St. John's Wort family (Hypericum). The bright yellow petals, visible stamens in the center, and overall floral structure are plainly visible and identifiable.",YES,YES,True
claude-haiku-4-5,key_flower_type,3 Regular Parts,agreement,NO,NO,YES,False
claude-haiku-4-5,key_flower_type,3 Regular Parts,blind_mc,**5 Regular Parts**,5 Regular Parts,3 Regular Parts,False
claude-haiku-4-5,key_flower_type,4 Regular Parts,existence,"YES

The image clearly shows small, delicate flowers with a distinctive star-like or bell-like shape characteristic of a specific flower type. The flowers appear to be small and pale green/yellowish in color, arranged along a green stem, which are identifiable morphological features of a particular flower type.",YES,YES,True
claude-haiku-4-5,key_flower_type,4 Regular Parts,agreement,YES,YES,YES,True
claude-haiku-4-5,key_flower_type,4 Regular Parts,blind_mc,4 Regular Parts,4 Regular Parts,4 Regular Parts,True
claude-haiku-4-5,key_flower_type,5 Regular Parts,existence,"YES

The flower type is clearly discernible in the image. This appears to be a mustard flower (likely from the Brassicaceae family), characterized by its four bright yellow petals arranged in a cross pattern and prominent dark stamens in the center, which are distinctive features of cruciferous flowers.",YES,YES,True
claude-haiku-4-5,key_flower_type,5 Regular Parts,agreement,YES,YES,YES,True
claude-haiku-4-5,key_flower_type,5 Regular Parts,blind_mc,5 Regular Parts,5 Regular Parts,5 Regular Parts,True
claude-haiku-4-5,key_flower_type,6 Regular Parts,existence,"YES

The image clearly shows white flowers with distinctive star-shaped or multi-petaled blooms arranged in clusters along a stem. The flower type is easily discernible as a flowering plant with recognizable floral morphology.",YES,YES,True
claude-haiku-4-5,key_flower_type,6 Regular Parts,agreement,YES,YES,YES,True
claude-haiku-4-5,key_flower_type,6 Regular Parts,blind_mc,**7 or More Regular Parts**,7 or More Regular Parts,6 Regular Parts,False
claude-haiku-4-5,key_flower_type,7 or More Regular Parts,existence,"YES

The flower type is clearly discernible in this image. It appears to be a daisy-like flower (possibly a Dahlia or similar composite flower) with distinctive yellow petals arranged in a radial pattern around a central yellow disk/center, along with visible green foliage.",YES,YES,True
claude-haiku-4-5,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
claude-haiku-4-5,key_flower_type,7 or More Regular Parts,blind_mc,**7 or More Regular Parts**,7 or More Regular Parts,7 or More Regular Parts,True
claude-haiku-4-5,key_flower_type,Parts Indistinguishable,existence,"YES

The image clearly shows distinctive flowers with thin, spidery, ribbon-like petals that are characteristic of a specific flower type. The unusual morphology with numerous thin, curled petals is clearly visible and discernible in the image.",YES,YES,True
claude-haiku-4-5,key_flower_type,Parts Indistinguishable,agreement,NO,NO,YES,False
claude-haiku-4-5,key_flower_type,Parts Indistinguishable,blind_mc,**6 Regular Parts**,6 Regular Parts,Parts Indistinguishable,False
claude-haiku-4-5,key_flower_type,Irregular Flowers,existence,"YES

The flower type is clearly discernible in this image. This is a sweet pea flower (Lathyrus odoratus), recognizable by its distinctive characteristics: the large, ruffled upper petal (standard), the curved wing petals on the sides, and the keel petals below, along with the climbing stem with tendrils.",YES,YES,True
claude-haiku-4-5,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
claude-haiku-4-5,key_flower_type,Irregular Flowers,blind_mc,**Irregular Flowers**,Irregular Flowers,Irregular Flowers,True
claude-haiku-4-5,key_plant_type,Wildflowers - Alternate Leaves,existence,"YES

The image clearly shows a plant with distinctive features that allow identification of the plant type: oval-shaped leaves arranged alternately on a hairy/fuzzy stem, characteristic of a tomato plant or similar solanaceae family member. The leaf shape, stem texture, and overall plant structure are clearly visible and discernible.",YES,YES,True
claude-haiku-4-5,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
claude-haiku-4-5,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
claude-haiku-4-5,key_plant_type,Wildflowers - No Apparent Leaves,existence,"YES

The plant type is clearly discernible in this image. This is a distinctive red flowering plant with a characteristic spike or raceme of small red flowers arranged vertically along a central stem. Based on its appearance, this appears to be a snow plant (*Sarcodes sanguinea*) or similar saprophytic flowering plant, which is identifiable by its unique all-red coloration and flower structure.",YES,YES,True
claude-haiku-4-5,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
claude-haiku-4-5,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
claude-haiku-4-5,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,"YES

The image clearly shows a hand holding plant material with distinctive characteristics visible: narrow, elongated green leaves and what appears to be legume-type pods. These features are discernible enough to identify the general plant type (appears to be a legume, possibly peas or beans).",YES,YES,True
claude-haiku-4-5,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,NO,NO,YES,False
claude-haiku-4-5,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Opposite or Whorled Leaves,False
claude-haiku-4-5,key_plant_type,Wildflowers - Basal Leaves Only,existence,"YES

The plant type is discernible in the image. The specimen shown appears to be an orchid, identifiable by its characteristic tall, slender stem with small flowers arranged along it and the distinctive leaf structure visible at the base of the plant.",YES,YES,True
claude-haiku-4-5,key_plant_type,Wildflowers - Basal Leaves Only,agreement,YES,YES,YES,True
