model,observation_id,photo_id,taxon_id,species_inat,newcomb_species_name,feature,true_value,p1_raw,p1_parsed,p2_raw,p2_parsed,feature_correct,committed
gpt-4o-mini,61827252,98982370,53387,Cornus sericea,Cornus stolonifera,key_plant_type,Shrubs,YES,YES,Shrubs,Shrubs,True,True
gpt-4o-mini,61827252,98982370,53387,Cornus sericea,Cornus stolonifera,key_leaf_type,Leaves Entire,YES,YES,Leaves Toothed or Lobed,Leaves Toothed or Lobed,False,True
gpt-4o-mini,61827252,98982370,53387,Cornus sericea,Cornus stolonifera,key_subgroup_1,Shrubs over 2' high,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,126104192,213925309,55909,Hieracium umbellatum,Hieracium canadense,key_flower_type,7 or More Regular Parts,YES,YES,Cannot determine from this image,INCONCLUSIVE,True,False
gpt-4o-mini,126104192,213925309,55909,Hieracium umbellatum,Hieracium canadense,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,126104192,213925309,55909,Hieracium umbellatum,Hieracium canadense,key_leaf_type,Leaves Toothed or Lobed,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,126104192,213925309,55909,Hieracium umbellatum,Hieracium canadense,key_subgroup_1,Yellow or orange flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,126104192,213925309,55909,Hieracium umbellatum,Hieracium canadense,key_subgroup_2,Dandelionlike flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,237603959,422891670,55909,Hieracium umbellatum,Hieracium canadense,key_flower_type,7 or More Regular Parts,YES,YES,5. **7 or More Regular Parts**,7 or More Regular Parts,True,True
gpt-4o-mini,237603959,422891670,55909,Hieracium umbellatum,Hieracium canadense,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,237603959,422891670,55909,Hieracium umbellatum,Hieracium canadense,key_leaf_type,Leaves Toothed or Lobed,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,237603959,422891670,55909,Hieracium umbellatum,Hieracium canadense,key_subgroup_1,Yellow or orange flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,237603959,422891670,55909,Hieracium umbellatum,Hieracium canadense,key_subgroup_2,Dandelionlike flowers,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,178229477,310096295,55909,Hieracium umbellatum,Hieracium canadense,key_flower_type,7 or More Regular Parts,YES,YES,5. **7 or More Regular Parts**,7 or More Regular Parts,True,True
gpt-4o-mini,178229477,310096295,55909,Hieracium umbellatum,Hieracium canadense,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,178229477,310096295,55909,Hieracium umbellatum,Hieracium canadense,key_leaf_type,Leaves Toothed or Lobed,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,178229477,310096295,55909,Hieracium umbellatum,Hieracium canadense,key_subgroup_1,Yellow or orange flowers,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,178229477,310096295,55909,Hieracium umbellatum,Hieracium canadense,key_subgroup_2,Dandelionlike flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,44975301,71302942,64293,Triodanis perfoliata,Specularia perfoliata,key_flower_type,5 Regular Parts,YES,YES,5. **7 or More Regular Parts**,7 or More Regular Parts,False,True
gpt-4o-mini,44975301,71302942,64293,Triodanis perfoliata,Specularia perfoliata,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,44975301,71302942,64293,Triodanis perfoliata,Specularia perfoliata,key_leaf_type,Leaves Toothed or Lobed,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,44975301,71302942,64293,Triodanis perfoliata,Specularia perfoliata,key_subgroup_1,Flowers not yellow,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,44975301,71302942,64293,Triodanis perfoliata,Specularia perfoliata,key_subgroup_2,Largest leaves as wide as long,YES,YES,- Flowers not yellow,Flowers not yellow,False,True
gpt-4o-mini,247578410,442206907,64293,Triodanis perfoliata,Specularia perfoliata,key_flower_type,5 Regular Parts,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,247578410,442206907,64293,Triodanis perfoliata,Specularia perfoliata,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,247578410,442206907,64293,Triodanis perfoliata,Specularia perfoliata,key_leaf_type,Leaves Toothed or Lobed,YES,YES,Leaves Entire,Leaves Entire,False,True
gpt-4o-mini,247578410,442206907,64293,Triodanis perfoliata,Specularia perfoliata,key_subgroup_1,Flowers not yellow,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,247578410,442206907,64293,Triodanis perfoliata,Specularia perfoliata,key_subgroup_2,Largest leaves as wide as long,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,25264602,39114124,64293,Triodanis perfoliata,Specularia perfoliata,key_flower_type,5 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,25264602,39114124,64293,Triodanis perfoliata,Specularia perfoliata,key_plant_type,Wildflowers - Alternate Leaves,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,25264602,39114124,64293,Triodanis perfoliata,Specularia perfoliata,key_leaf_type,Leaves Toothed or Lobed,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,25264602,39114124,64293,Triodanis perfoliata,Specularia perfoliata,key_subgroup_1,Flowers not yellow,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,25264602,39114124,64293,Triodanis perfoliata,Specularia perfoliata,key_subgroup_2,Largest leaves as wide as long,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,234497042,416888165,68913,Prosartes lanuginosa,Disporum lanuginosum,key_flower_type,6 Regular Parts,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,234497042,416888165,68913,Prosartes lanuginosa,Disporum lanuginosum,key_plant_type,Wildflowers - Alternate Leaves,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,234497042,416888165,68913,Prosartes lanuginosa,Disporum lanuginosum,key_leaf_type,Leaves Entire,YES,YES,Leaves Entire,Leaves Entire,True,True
gpt-4o-mini,43494782,69004407,68913,Prosartes lanuginosa,Disporum lanuginosum,key_flower_type,6 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,43494782,69004407,68913,Prosartes lanuginosa,Disporum lanuginosum,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,43494782,69004407,68913,Prosartes lanuginosa,Disporum lanuginosum,key_leaf_type,Leaves Entire,YES,YES,Leaves Toothed or Lobed,Leaves Toothed or Lobed,False,True
gpt-4o-mini,113047188,190999487,68913,Prosartes lanuginosa,Disporum lanuginosum,key_flower_type,6 Regular Parts,YES,YES,Cannot determine from this image,INCONCLUSIVE,True,False
gpt-4o-mini,113047188,190999487,68913,Prosartes lanuginosa,Disporum lanuginosum,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,113047188,190999487,68913,Prosartes lanuginosa,Disporum lanuginosum,key_leaf_type,Leaves Entire,YES,YES,Leaves Entire,Leaves Entire,True,True
gpt-4o-mini,139760081,239106401,76214,Centaurea stoebe,Centaurea maculosa,key_flower_type,5 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,139760081,239106401,76214,Centaurea stoebe,Centaurea maculosa,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,139760081,239106401,76214,Centaurea stoebe,Centaurea maculosa,key_leaf_type,Leaves Divided,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,139760081,239106401,76214,Centaurea stoebe,Centaurea maculosa,key_subgroup_1,"Flowers 1/4"" or more wide or long",INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,139760081,239106401,76214,Centaurea stoebe,Centaurea maculosa,key_subgroup_2,Flowers not yellow,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,173143195,300654310,76214,Centaurea stoebe,Centaurea maculosa,key_flower_type,5 Regular Parts,YES,YES,Cannot determine from this image,INCONCLUSIVE,True,False
gpt-4o-mini,173143195,300654310,76214,Centaurea stoebe,Centaurea maculosa,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,173143195,300654310,76214,Centaurea stoebe,Centaurea maculosa,key_leaf_type,Leaves Divided,YES,YES,Leaves Divided,Leaves Divided,True,True
gpt-4o-mini,173143195,300654310,76214,Centaurea stoebe,Centaurea maculosa,key_subgroup_1,"Flowers 1/4"" or more wide or long",INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,173143195,300654310,76214,Centaurea stoebe,Centaurea maculosa,key_subgroup_2,Flowers not yellow,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,92039912,152329096,76214,Centaurea stoebe,Centaurea maculosa,key_flower_type,5 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,92039912,152329096,76214,Centaurea stoebe,Centaurea maculosa,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,92039912,152329096,76214,Centaurea stoebe,Centaurea maculosa,key_leaf_type,Leaves Divided,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,92039912,152329096,76214,Centaurea stoebe,Centaurea maculosa,key_subgroup_1,"Flowers 1/4"" or more wide or long",INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,92039912,152329096,76214,Centaurea stoebe,Centaurea maculosa,key_subgroup_2,Flowers not yellow,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,4462156,5380876,78452,Persicaria hydropiper,Polygonum hydropiper,key_flower_type,4 Regular Parts,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,4462156,5380876,78452,Persicaria hydropiper,Polygonum hydropiper,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,4462156,5380876,78452,Persicaria hydropiper,Polygonum hydropiper,key_leaf_type,Leaves Entire,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,182002287,317243342,78452,Persicaria hydropiper,Polygonum hydropiper,key_flower_type,4 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,182002287,317243342,78452,Persicaria hydropiper,Polygonum hydropiper,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,182002287,317243342,78452,Persicaria hydropiper,Polygonum hydropiper,key_leaf_type,Leaves Entire,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,30287112,47309291,78452,Persicaria hydropiper,Polygonum hydropiper,key_flower_type,4 Regular Parts,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,30287112,47309291,78452,Persicaria hydropiper,Polygonum hydropiper,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,30287112,47309291,78452,Persicaria hydropiper,Polygonum hydropiper,key_leaf_type,Leaves Entire,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,325428356,589206756,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_flower_type,5 Regular Parts,YES,YES,Cannot determine from this image,INCONCLUSIVE,True,False
gpt-4o-mini,325428356,589206756,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,325428356,589206756,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_leaf_type,Leaves Entire,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,325428356,589206756,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_subgroup_1,Flowers not yellow or orange,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,325428356,589206756,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_subgroup_2,Stems jointed (Buckwheat Family),INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,242872158,433013722,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_flower_type,5 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,242872158,433013722,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,242872158,433013722,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_leaf_type,Leaves Entire,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,242872158,433013722,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_subgroup_1,Flowers not yellow or orange,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,242872158,433013722,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_subgroup_2,Stems jointed (Buckwheat Family),INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,238474539,424700358,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_flower_type,5 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,238474539,424700358,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,238474539,424700358,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_leaf_type,Leaves Entire,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,238474539,424700358,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_subgroup_1,Flowers not yellow or orange,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,238474539,424700358,78455,Persicaria pensylvanica,Polygonum pensylvanicum,key_subgroup_2,Stems jointed (Buckwheat Family),INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,168112016,291303849,78886,Rosa rubiginosa,Rosa eglanteria,key_flower_type,5 Regular Parts,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,168112016,291303849,78886,Rosa rubiginosa,Rosa eglanteria,key_plant_type,Shrubs,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,168112016,291303849,78886,Rosa rubiginosa,Rosa eglanteria,key_leaf_type,Leaves Divided,YES,YES,Leaves Toothed or Lobed,Leaves Toothed or Lobed,False,True
gpt-4o-mini,168112016,291303849,78886,Rosa rubiginosa,Rosa eglanteria,key_subgroup_1,"Flowers under 1/2"" wide",INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,61854596,99029799,78886,Rosa rubiginosa,Rosa eglanteria,key_flower_type,5 Regular Parts,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,61854596,99029799,78886,Rosa rubiginosa,Rosa eglanteria,key_plant_type,Shrubs,YES,YES,Shrubs,Shrubs,True,True
gpt-4o-mini,61854596,99029799,78886,Rosa rubiginosa,Rosa eglanteria,key_leaf_type,Leaves Divided,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,61854596,99029799,78886,Rosa rubiginosa,Rosa eglanteria,key_subgroup_1,"Flowers under 1/2"" wide",YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,123051387,208418085,78886,Rosa rubiginosa,Rosa eglanteria,key_flower_type,5 Regular Parts,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,123051387,208418085,78886,Rosa rubiginosa,Rosa eglanteria,key_plant_type,Shrubs,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,123051387,208418085,78886,Rosa rubiginosa,Rosa eglanteria,key_leaf_type,Leaves Divided,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,123051387,208418085,78886,Rosa rubiginosa,Rosa eglanteria,key_subgroup_1,"Flowers under 1/2"" wide",INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,310378416,560170508,78900,Rumex britannica,Rumex orbiculatus,key_flower_type,Parts Indistinguishable,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,310378416,560170508,78900,Rumex britannica,Rumex orbiculatus,key_plant_type,Wildflowers - Alternate Leaves,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,310378416,560170508,78900,Rumex britannica,Rumex orbiculatus,key_leaf_type,Leaves Entire,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,310378416,560170508,78900,Rumex britannica,Rumex orbiculatus,key_subgroup_1,Stem jointed,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,58154518,92821459,78900,Rumex britannica,Rumex orbiculatus,key_flower_type,Parts Indistinguishable,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,58154518,92821459,78900,Rumex britannica,Rumex orbiculatus,key_plant_type,Wildflowers - Alternate Leaves,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,58154518,92821459,78900,Rumex britannica,Rumex orbiculatus,key_leaf_type,Leaves Entire,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,58154518,92821459,78900,Rumex britannica,Rumex orbiculatus,key_subgroup_1,Stem jointed,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,178438383,310499933,78900,Rumex britannica,Rumex orbiculatus,key_flower_type,Parts Indistinguishable,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,178438383,310499933,78900,Rumex britannica,Rumex orbiculatus,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,178438383,310499933,78900,Rumex britannica,Rumex orbiculatus,key_leaf_type,Leaves Entire,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,178438383,310499933,78900,Rumex britannica,Rumex orbiculatus,key_subgroup_1,Stem jointed,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,89689232,148132069,82317,Hibiscus moscheutos,Hibiscus palustris,key_flower_type,5 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,89689232,148132069,82317,Hibiscus moscheutos,Hibiscus palustris,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,89689232,148132069,82317,Hibiscus moscheutos,Hibiscus palustris,key_leaf_type,Leaves Toothed or Lobed,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,89689232,148132069,82317,Hibiscus moscheutos,Hibiscus palustris,key_subgroup_1,Flowers not yellow,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,89689232,148132069,82317,Hibiscus moscheutos,Hibiscus palustris,key_subgroup_2,Leaves longer than wide,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,30082593,46979272,82317,Hibiscus moscheutos,Hibiscus palustris,key_flower_type,5 Regular Parts,YES,YES,5. **7 or More Regular Parts**,7 or More Regular Parts,False,True
gpt-4o-mini,30082593,46979272,82317,Hibiscus moscheutos,Hibiscus palustris,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Shrubs,Shrubs,False,True
gpt-4o-mini,30082593,46979272,82317,Hibiscus moscheutos,Hibiscus palustris,key_leaf_type,Leaves Toothed or Lobed,YES,YES,Leaves Entire,Leaves Entire,False,True
gpt-4o-mini,30082593,46979272,82317,Hibiscus moscheutos,Hibiscus palustris,key_subgroup_1,Flowers not yellow,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,30082593,46979272,82317,Hibiscus moscheutos,Hibiscus palustris,key_subgroup_2,Leaves longer than wide,YES,YES,- Flowers not yellow,Flowers not yellow,False,True
gpt-4o-mini,47676321,75623983,82317,Hibiscus moscheutos,Hibiscus palustris,key_flower_type,5 Regular Parts,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,47676321,75623983,82317,Hibiscus moscheutos,Hibiscus palustris,key_plant_type,Wildflowers - Alternate Leaves,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,47676321,75623983,82317,Hibiscus moscheutos,Hibiscus palustris,key_leaf_type,Leaves Toothed or Lobed,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,47676321,75623983,82317,Hibiscus moscheutos,Hibiscus palustris,key_subgroup_1,Flowers not yellow,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,47676321,75623983,82317,Hibiscus moscheutos,Hibiscus palustris,key_subgroup_2,Leaves longer than wide,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,36899280,58403499,85327,Polygonatum biflorum,Polygonatum biflorum,key_flower_type,6 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,36899280,58403499,85327,Polygonatum biflorum,Polygonatum biflorum,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
