photo_id,photo_url,species_inat,newcomb_species_name,photo_selection,feature,species_level_true_value,human_visible,human_can_assign_value,human_value_if_assignable,matches_species_level_true_value,difficulty,review_status,exclusion_reason,reviewer,reviewed_at,notes
76460834,https://static.inaturalist.org/photos/76460834/original.jpg,Cornus sericea,Cornus stolonifera,KEEP,key_leaf_type,Leaves Entire,YES,YES,Leaves Entire,YES,medium,APPROVED,,Lindsey,2026-07-22,
27506638,https://inaturalist-open-data.s3.amazonaws.com/photos/27506638/original.jpg,Cornus sericea,Cornus stolonifera,PENDING,key_flower_type,4 Regular Parts,,,,,,PENDING,,,,
27506638,https://inaturalist-open-data.s3.amazonaws.com/photos/27506638/original.jpg,Cornus sericea,Cornus stolonifera,PENDING,key_plant_type,Shrubs,,,,,,PENDING,,,,
27506638,https://inaturalist-open-data.s3.amazonaws.com/photos/27506638/original.jpg,Cornus sericea,Cornus stolonifera,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
98982370,https://inaturalist-open-data.s3.amazonaws.com/photos/98982370/original.jpg,Cornus sericea,Cornus stolonifera,PENDING,key_flower_type,4 Regular Parts,,,,,,PENDING,,,,
98982370,https://inaturalist-open-data.s3.amazonaws.com/photos/98982370/original.jpg,Cornus sericea,Cornus stolonifera,PENDING,key_plant_type,Shrubs,,,,,,PENDING,,,,
98982370,https://inaturalist-open-data.s3.amazonaws.com/photos/98982370/original.jpg,Cornus sericea,Cornus stolonifera,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
213925309,https://inaturalist-open-data.s3.amazonaws.com/photos/213925309/original.jpg,Hieracium umbellatum,Hieracium canadense,KEEP,key_flower_type,7 or More Regular Parts,YES,YES,7 or More Regular Parts,YES,hard,APPROVED,,Lindsey,2026-07-22,
213925309,https://inaturalist-open-data.s3.amazonaws.com/photos/213925309/original.jpg,Hieracium umbellatum,Hieracium canadense,KEEP,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,YES,hard,APPROVED,,Lindsey,2026-07-22,
213925309,https://inaturalist-open-data.s3.amazonaws.com/photos/213925309/original.jpg,Hieracium umbellatum,Hieracium canadense,KEEP,key_leaf_type,Leaves Toothed or Lobed,YES,YES,Leaves Toothed or Lobed,YES,hard,APPROVED,,Lindsey,2026-07-22,
422891670,https://inaturalist-open-data.s3.amazonaws.com/photos/422891670/original.jpeg,Hieracium umbellatum,Hieracium canadense,PENDING,key_flower_type,7 or More Regular Parts,,,,,,PENDING,,,,
422891670,https://inaturalist-open-data.s3.amazonaws.com/photos/422891670/original.jpeg,Hieracium umbellatum,Hieracium canadense,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
422891670,https://inaturalist-open-data.s3.amazonaws.com/photos/422891670/original.jpeg,Hieracium umbellatum,Hieracium canadense,PENDING,key_leaf_type,Leaves Toothed or Lobed,,,,,,PENDING,,,,
310096295,https://inaturalist-open-data.s3.amazonaws.com/photos/310096295/original.jpg,Hieracium umbellatum,Hieracium canadense,PENDING,key_flower_type,7 or More Regular Parts,,,,,,PENDING,,,,
310096295,https://inaturalist-open-data.s3.amazonaws.com/photos/310096295/original.jpg,Hieracium umbellatum,Hieracium canadense,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
310096295,https://inaturalist-open-data.s3.amazonaws.com/photos/310096295/original.jpg,Hieracium umbellatum,Hieracium canadense,PENDING,key_leaf_type,Leaves Toothed or Lobed,,,,,,PENDING,,,,
71302942,https://inaturalist-open-data.s3.amazonaws.com/photos/71302942/original.jpeg,Triodanis perfoliata,Specularia perfoliata,KEEP,key_flower_type,5 Regular Parts,YES,YES,5 Regular Parts,YES,easy,APPROVED,,Lindsey,2026-07-22,
71302942,https://inaturalist-open-data.s3.amazonaws.com/photos/71302942/original.jpeg,Triodanis perfoliata,Specularia perfoliata,KEEP,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,YES,easy,APPROVED,,Lindsey,2026-07-22,
71302942,https://inaturalist-open-data.s3.amazonaws.com/photos/71302942/original.jpeg,Triodanis perfoliata,Specularia perfoliata,KEEP,key_leaf_type,Leaves Toothed or Lobed,YES,YES,Leaves Toothed or Lobed,YES,medium,APPROVED,,Lindsey,2026-07-22,
442206907,https://inaturalist-open-data.s3.amazonaws.com/photos/442206907/original.jpeg,Triodanis perfoliata,Specularia perfoliata,PENDING,key_flower_type,5 Regular Parts,,,,,,PENDING,,,,
442206907,https://inaturalist-open-data.s3.amazonaws.com/photos/442206907/original.jpeg,Triodanis perfoliata,Specularia perfoliata,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
442206907,https://inaturalist-open-data.s3.amazonaws.com/photos/442206907/original.jpeg,Triodanis perfoliata,Specularia perfoliata,PENDING,key_leaf_type,Leaves Toothed or Lobed,,,,,,PENDING,,,,
39114124,https://inaturalist-open-data.s3.amazonaws.com/photos/39114124/original.jpg,Triodanis perfoliata,Specularia perfoliata,PENDING,key_flower_type,5 Regular Parts,,,,,,PENDING,,,,
39114124,https://inaturalist-open-data.s3.amazonaws.com/photos/39114124/original.jpg,Triodanis perfoliata,Specularia perfoliata,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
39114124,https://inaturalist-open-data.s3.amazonaws.com/photos/39114124/original.jpg,Triodanis perfoliata,Specularia perfoliata,PENDING,key_leaf_type,Leaves Toothed or Lobed,,,,,,PENDING,,,,
416888165,https://static.inaturalist.org/photos/416888165/original.jpeg,Prosartes lanuginosa,Disporum lanuginosum,KEEP,key_flower_type,6 Regular Parts,NO,NO,,,hard,APPROVED,,Lindsey,2026-07-22,
416888165,https://static.inaturalist.org/photos/416888165/original.jpeg,Prosartes lanuginosa,Disporum lanuginosum,KEEP,key_plant_type,Wildflowers - Alternate Leaves,YES,NO,,UNCLEAR,hard,APPROVED,,Lindsey,2026-07-22,
416888165,https://static.inaturalist.org/photos/416888165/original.jpeg,Prosartes lanuginosa,Disporum lanuginosum,KEEP,key_leaf_type,Leaves Entire,YES,YES,Leaves Entire,YES,easy,APPROVED,,Lindsey,2026-07-22,
69004407,https://inaturalist-open-data.s3.amazonaws.com/photos/69004407/original.jpg,Prosartes lanuginosa,Disporum lanuginosum,PENDING,key_flower_type,6 Regular Parts,,,,,,PENDING,,,,
69004407,https://inaturalist-open-data.s3.amazonaws.com/photos/69004407/original.jpg,Prosartes lanuginosa,Disporum lanuginosum,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
69004407,https://inaturalist-open-data.s3.amazonaws.com/photos/69004407/original.jpg,Prosartes lanuginosa,Disporum lanuginosum,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
190999487,https://inaturalist-open-data.s3.amazonaws.com/photos/190999487/original.jpg,Prosartes lanuginosa,Disporum lanuginosum,PENDING,key_flower_type,6 Regular Parts,,,,,,PENDING,,,,
190999487,https://inaturalist-open-data.s3.amazonaws.com/photos/190999487/original.jpg,Prosartes lanuginosa,Disporum lanuginosum,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
190999487,https://inaturalist-open-data.s3.amazonaws.com/photos/190999487/original.jpg,Prosartes lanuginosa,Disporum lanuginosum,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
239106401,https://inaturalist-open-data.s3.amazonaws.com/photos/239106401/original.jpg,Centaurea stoebe,Centaurea maculosa,KEEP,key_flower_type,5 Regular Parts,NO,NO,,,hard,APPROVED,,Lindsey,2026-07-22,
239106401,https://inaturalist-open-data.s3.amazonaws.com/photos/239106401/original.jpg,Centaurea stoebe,Centaurea maculosa,KEEP,key_plant_type,Wildflowers - Alternate Leaves,YES,NO,,UNCLEAR,hard,APPROVED,,Lindsey,2026-07-22,
239106401,https://inaturalist-open-data.s3.amazonaws.com/photos/239106401/original.jpg,Centaurea stoebe,Centaurea maculosa,KEEP,key_leaf_type,Leaves Divided,NO,NO,,,hard,APPROVED,,Lindsey,2026-07-22,
300654310,https://static.inaturalist.org/photos/300654310/original.jpeg,Centaurea stoebe,Centaurea maculosa,PENDING,key_flower_type,5 Regular Parts,,,,,,PENDING,,,,
300654310,https://static.inaturalist.org/photos/300654310/original.jpeg,Centaurea stoebe,Centaurea maculosa,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
300654310,https://static.inaturalist.org/photos/300654310/original.jpeg,Centaurea stoebe,Centaurea maculosa,PENDING,key_leaf_type,Leaves Divided,,,,,,PENDING,,,,
152329096,https://static.inaturalist.org/photos/152329096/original.jpg,Centaurea stoebe,Centaurea maculosa,PENDING,key_flower_type,5 Regular Parts,,,,,,PENDING,,,,
152329096,https://static.inaturalist.org/photos/152329096/original.jpg,Centaurea stoebe,Centaurea maculosa,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
152329096,https://static.inaturalist.org/photos/152329096/original.jpg,Centaurea stoebe,Centaurea maculosa,PENDING,key_leaf_type,Leaves Divided,,,,,,PENDING,,,,
5380876,https://inaturalist-open-data.s3.amazonaws.com/photos/5380876/original.jpg,Persicaria hydropiper,Polygonum hydropiper,KEEP,key_flower_type,4 Regular Parts,NO,NO,,,hard,APPROVED,,Lindsey,2026-07-22,
5380876,https://inaturalist-open-data.s3.amazonaws.com/photos/5380876/original.jpg,Persicaria hydropiper,Polygonum hydropiper,KEEP,key_plant_type,Wildflowers - Alternate Leaves,YES,NO,,UNCLEAR,hard,APPROVED,,Lindsey,2026-07-22,
5380876,https://inaturalist-open-data.s3.amazonaws.com/photos/5380876/original.jpg,Persicaria hydropiper,Polygonum hydropiper,KEEP,key_leaf_type,Leaves Entire,YES,YES,Leaves Entire,YES,easy,APPROVED,,Lindsey,2026-07-22,
317243342,https://inaturalist-open-data.s3.amazonaws.com/photos/317243342/original.jpeg,Persicaria hydropiper,Polygonum hydropiper,PENDING,key_flower_type,4 Regular Parts,,,,,,PENDING,,,,
317243342,https://inaturalist-open-data.s3.amazonaws.com/photos/317243342/original.jpeg,Persicaria hydropiper,Polygonum hydropiper,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
317243342,https://inaturalist-open-data.s3.amazonaws.com/photos/317243342/original.jpeg,Persicaria hydropiper,Polygonum hydropiper,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
47309291,https://inaturalist-open-data.s3.amazonaws.com/photos/47309291/original.jpg,Persicaria hydropiper,Polygonum hydropiper,PENDING,key_flower_type,4 Regular Parts,,,,,,PENDING,,,,
47309291,https://inaturalist-open-data.s3.amazonaws.com/photos/47309291/original.jpg,Persicaria hydropiper,Polygonum hydropiper,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
47309291,https://inaturalist-open-data.s3.amazonaws.com/photos/47309291/original.jpg,Persicaria hydropiper,Polygonum hydropiper,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
589206756,https://static.inaturalist.org/photos/589206756/original.jpg,Persicaria pensylvanica,Polygonum pensylvanicum,KEEP,key_flower_type,5 Regular Parts,YES,NO,,UNCLEAR,hard,APPROVED,,Lindsey,2026-07-22,
589206756,https://static.inaturalist.org/photos/589206756/original.jpg,Persicaria pensylvanica,Polygonum pensylvanicum,KEEP,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,YES,easy,APPROVED,,Lindsey,2026-07-22,
589206756,https://static.inaturalist.org/photos/589206756/original.jpg,Persicaria pensylvanica,Polygonum pensylvanicum,KEEP,key_leaf_type,Leaves Entire,YES,YES,Leaves Entire,YES,easy,APPROVED,,Lindsey,2026-07-22,
433013722,https://inaturalist-open-data.s3.amazonaws.com/photos/433013722/original.jpeg,Persicaria pensylvanica,Polygonum pensylvanicum,PENDING,key_flower_type,5 Regular Parts,,,,,,PENDING,,,,
433013722,https://inaturalist-open-data.s3.amazonaws.com/photos/433013722/original.jpeg,Persicaria pensylvanica,Polygonum pensylvanicum,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
433013722,https://inaturalist-open-data.s3.amazonaws.com/photos/433013722/original.jpeg,Persicaria pensylvanica,Polygonum pensylvanicum,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
424700358,https://inaturalist-open-data.s3.amazonaws.com/photos/424700358/original.jpeg,Persicaria pensylvanica,Polygonum pensylvanicum,PENDING,key_flower_type,5 Regular Parts,,,,,,PENDING,,,,
424700358,https://inaturalist-open-data.s3.amazonaws.com/photos/424700358/original.jpeg,Persicaria pensylvanica,Polygonum pensylvanicum,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
424700358,https://inaturalist-open-data.s3.amazonaws.com/photos/424700358/original.jpeg,Persicaria pensylvanica,Polygonum pensylvanicum,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
291303849,https://static.inaturalist.org/photos/291303849/original.jpeg,Rosa rubiginosa,Rosa eglanteria,KEEP,key_flower_type,5 Regular Parts,NO,NO,,,hard,APPROVED,,Lindsey,2026-07-22,
291303849,https://static.inaturalist.org/photos/291303849/original.jpeg,Rosa rubiginosa,Rosa eglanteria,KEEP,key_plant_type,Shrubs,YES,YES,Shrubs,YES,hard,APPROVED,,Lindsey,2026-07-22,
291303849,https://static.inaturalist.org/photos/291303849/original.jpeg,Rosa rubiginosa,Rosa eglanteria,KEEP,key_leaf_type,Leaves Divided,YES,YES,Leaves Divided,YES,easy,APPROVED,,Lindsey,2026-07-22,
99029799,https://inaturalist-open-data.s3.amazonaws.com/photos/99029799/original.jpg,Rosa rubiginosa,Rosa eglanteria,PENDING,key_flower_type,5 Regular Parts,,,,,,PENDING,,,,
99029799,https://inaturalist-open-data.s3.amazonaws.com/photos/99029799/original.jpg,Rosa rubiginosa,Rosa eglanteria,PENDING,key_plant_type,Shrubs,,,,,,PENDING,,,,
99029799,https://inaturalist-open-data.s3.amazonaws.com/photos/99029799/original.jpg,Rosa rubiginosa,Rosa eglanteria,PENDING,key_leaf_type,Leaves Divided,,,,,,PENDING,,,,
208418085,https://inaturalist-open-data.s3.amazonaws.com/photos/208418085/original.jpeg,Rosa rubiginosa,Rosa eglanteria,PENDING,key_flower_type,5 Regular Parts,,,,,,PENDING,,,,
208418085,https://inaturalist-open-data.s3.amazonaws.com/photos/208418085/original.jpeg,Rosa rubiginosa,Rosa eglanteria,PENDING,key_plant_type,Shrubs,,,,,,PENDING,,,,
208418085,https://inaturalist-open-data.s3.amazonaws.com/photos/208418085/original.jpeg,Rosa rubiginosa,Rosa eglanteria,PENDING,key_leaf_type,Leaves Divided,,,,,,PENDING,,,,
560170508,https://inaturalist-open-data.s3.amazonaws.com/photos/560170508/original.jpg,Rumex britannica,Rumex orbiculatus,KEEP,key_flower_type,Parts Indistinguishable,NO,NO,,,hard,APPROVED,,Lindsey,2026-07-22,
560170508,https://inaturalist-open-data.s3.amazonaws.com/photos/560170508/original.jpg,Rumex britannica,Rumex orbiculatus,KEEP,key_plant_type,Wildflowers - Alternate Leaves,YES,NO,,UNCLEAR,medium,APPROVED,,Lindsey,2026-07-22,
560170508,https://inaturalist-open-data.s3.amazonaws.com/photos/560170508/original.jpg,Rumex britannica,Rumex orbiculatus,KEEP,key_leaf_type,Leaves Entire,YES,NO,,UNCLEAR,hard,APPROVED,,Lindsey,2026-07-22,
92821459,https://inaturalist-open-data.s3.amazonaws.com/photos/92821459/original.jpeg,Rumex britannica,Rumex orbiculatus,PENDING,key_flower_type,Parts Indistinguishable,,,,,,PENDING,,,,
92821459,https://inaturalist-open-data.s3.amazonaws.com/photos/92821459/original.jpeg,Rumex britannica,Rumex orbiculatus,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
92821459,https://inaturalist-open-data.s3.amazonaws.com/photos/92821459/original.jpeg,Rumex britannica,Rumex orbiculatus,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
310499933,https://inaturalist-open-data.s3.amazonaws.com/photos/310499933/original.jpg,Rumex britannica,Rumex orbiculatus,PENDING,key_flower_type,Parts Indistinguishable,,,,,,PENDING,,,,
310499933,https://inaturalist-open-data.s3.amazonaws.com/photos/310499933/original.jpg,Rumex britannica,Rumex orbiculatus,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
310499933,https://inaturalist-open-data.s3.amazonaws.com/photos/310499933/original.jpg,Rumex britannica,Rumex orbiculatus,PENDING,key_leaf_type,Leaves Entire,,,,,,PENDING,,,,
